title,company_name,location_display,salary_min,salary_max,category_label,contract_type,created,search_keyword,search_location
Lead Data Engineer,Capital One,"New York City, New York",118378.97,118378.97,IT Jobs,,2025-07-21T04:19:13Z,data engineer,new york
Senior Data Engineer,Capital One,"New York City, New York",140896.6,140896.6,IT Jobs,,2025-07-21T04:19:29Z,data engineer,new york
Senior Data Engineer,Capital One,"New York City, New York",136470.8,136470.8,IT Jobs,,2025-07-21T04:19:05Z,data engineer,new york
Lead Data Engineer,Capital One,"New York City, New York",117550.52,117550.52,IT Jobs,,2025-07-21T04:19:06Z,data engineer,new york
Lead Data Engineer,Capital One,"Prince, Manhattan",118607.23,118607.23,IT Jobs,contract,2025-07-21T06:01:09Z,data engineer,new york
Lead Data Engineer,Capital One,"Prince, Manhattan",118893.19,118893.19,IT Jobs,contract,2025-07-21T06:00:52Z,data engineer,new york
Lead Data Engineer,Capital One,"New York City, New York",121223.35,121223.35,IT Jobs,,2025-07-21T04:19:12Z,data engineer,new york
Senior Data Engineer,Capital One,"Prince, Manhattan",136733.81,136733.81,IT Jobs,contract,2025-07-21T10:44:43Z,data engineer,new york
Lead Data Engineer,Capital One,"Prince, Manhattan",117776.97,117776.97,IT Jobs,contract,2025-07-21T05:47:54Z,data engineer,new york
Lead Data Engineer,Capital One,"Prince, Manhattan",121457.1,121457.1,IT Jobs,contract,2025-07-21T05:50:38Z,data engineer,new york
Lead Data Engineer,Capital One,"Prince, Manhattan",123817.44,123817.44,IT Jobs,contract,2025-07-21T05:47:40Z,data engineer,new york
Lead Data Engineer,Capital One,"New York City, New York",118664.15,118664.15,IT Jobs,,2025-07-21T04:19:08Z,data engineer,new york
Lead Data Engineer,Capital One,"New York City, New York",123579.26,123579.26,IT Jobs,,2025-07-21T04:19:05Z,data engineer,new york
Senior Data Engineer (Python),Capital One,"New York City, New York",127385.04,127385.04,IT Jobs,,2025-07-21T04:19:37Z,data engineer,new york
Distinguished Data Engineer - Card Technology,Capital One,"New York City, New York",173432.6,173432.6,IT Jobs,,2025-07-21T06:24:52Z,data engineer,new york
"Senior Data Engineer (Python, AWS)",Capital One,"New York City, New York",142613.73,142613.73,IT Jobs,,2025-07-21T04:19:07Z,data engineer,new york
"Senior Data Engineer (Python, AWS)",Capital One,"Prince, Manhattan",142888.73,142888.73,IT Jobs,contract,2025-07-21T06:00:50Z,data engineer,new york
Senior Data Engineer,Capital One,"Prince, Manhattan",141168.56,141168.56,IT Jobs,contract,2025-07-22T08:56:15Z,data engineer,new york
