title,company_name,location_display,salary_min,salary_max,category_label,contract_type,created,search_keyword,search_location
Data Engineer H/F,Treezor,"Paris, Ile-de-France",,,Emplois Comptabilité et Finance,,2025-07-16T09:35:37Z,data engineer,paris
Data Engineer H/F,Nextgen RH,"Paris, Ile-de-France",55000.0,65000.0,Unknown,,2025-05-17T06:00:32Z,data engineer,paris
Data Engineer H/F,Euronext Technologies SAS,"Paris, Ile-de-France",,,Emplois Comptabilité et Finance,,2025-06-19T07:48:07Z,data engineer,paris
Data Engineer H/F,Kent,"Paris, Ile-de-France",50000.0,60000.0,Emplois Informatique,,2025-07-22T09:36:32Z,data engineer,paris
Data Engineer - Confirmé H/F,AVIVGroup,"Paris, Ile-de-France",,,Emplois Immobilier,,2025-07-21T09:58:21Z,data engineer,paris
Senior Data Engineer H/F,AVIVGroup,"Paris, Ile-de-France",,,Emplois Immobilier,,2025-07-21T09:58:23Z,data engineer,paris
Senior Data Engineer H/F,Twenty One Talents,"Paris, Ile-de-France",50000.0,65000.0,Emplois Informatique,,2025-07-16T09:21:44Z,data engineer,paris
Big Data Engineer - Services Financiers - Ile de France,Sopra Steria,"Paris, Ile-de-France",,,Unknown,,2025-07-15T21:17:51Z,data engineer,paris
Data Engineer - Azure Python Pyspark H/F,Team.is,"Paris, Ile-de-France",40000.0,50000.0,Emplois Informatique,,2025-07-12T09:59:15Z,data engineer,paris
Senior Data Engineer MLOps - CDI H/F,Talan,"Paris, Ile-de-France",,,Unknown,,2025-02-04T19:44:56Z,data engineer,paris
Data Engineer Python SQL Aws H/F,Raya Accompagnement,"Paris, Ile-de-France",45000.0,55000.0,Emplois Informatique,,2025-07-21T09:50:03Z,data engineer,paris
Data Engineer,Coders Connect,"Paris, Ile-de-France",,,Unknown,,2025-07-12T07:03:06Z,data engineer,paris
Data engineer (f/h) (CDI),BPCE Solutions Informatiques,"1er Arrondissement, Paris",,,Unknown,permanent,2025-07-19T20:20:08Z,data engineer,paris
Senior Software - Data Engineer Java - N H/F,Believe,"Paris, Ile-de-France",,,Unknown,,2025-07-18T09:36:21Z,data engineer,paris
Data Engineer Snowflake,Tenth Revolution Group,"Paris, Ile-de-France",,,Unknown,,2025-07-20T09:18:38Z,data engineer,paris
Data Engineer GCP,Ucase Consulting,"Paris, Ile-de-France",,,Unknown,,2025-07-04T08:52:44Z,data engineer,paris
Ingénieur de données - Data Engineer,BM&A,"Paris, Ile-de-France",,,Unknown,,2025-07-20T09:19:41Z,data engineer,paris
Data Engineer – Luxe & Mode,Sander,"Paris, Ile-de-France",,,Emplois Informatique,,2025-07-20T09:20:36Z,data engineer,paris
Data Engineer,Bloomfield Robotics,"Paris, Ile-de-France",,,Unknown,,2025-07-18T02:38:49Z,data engineer,paris
Data Engineers,Fabskill Partners,"1er Arrondissement, Paris",,,Unknown,permanent,2025-03-03T13:48:41Z,data engineer,paris
Data Engineer,Advanced Schema,"16ème Arrondissement, Paris",,,Unknown,,2025-01-29T14:16:15Z,data engineer,paris
Data Engineer,EASEL TECH,"Paris, Ile-de-France",,,Emplois Informatique,permanent,2025-06-20T01:40:17Z,data engineer,paris
Data engineer,Edumapper,"8ème Arrondissement, Paris",,,Unknown,,2025-06-23T22:51:20Z,data engineer,paris
Data Engineer,Kraaft,"2ème Arrondissement, Paris",50000.0,80000.0,Unknown,,2024-12-14T13:51:42Z,data engineer,paris
Data engineer,PERITIS,"1er Arrondissement, Paris",,,Unknown,permanent,2025-03-27T13:30:37Z,data engineer,paris
Data Engineer,Euronext Technologies SAS,"Paris, Ile-de-France",,,Unknown,,2025-06-20T22:30:44Z,data engineer,paris
Data Engineer,HomeExchange,"10ème Arrondissement, Paris",,,Unknown,,2025-07-08T17:40:32Z,data engineer,paris
Data Engineer,Ogury,"Paris, Ile-de-France",,,Unknown,,2025-04-11T22:46:20Z,data engineer,paris
Data Engineer,Bloomfield Robotics,"Paris, Ile-de-France",,,Unknown,,2025-07-19T12:57:23Z,data engineer,paris
Data Engineer,Ogury,"Paris, Ile-de-France",,,Unknown,,2025-06-26T22:36:19Z,data engineer,paris
Data Engineer,Sancare,"1er Arrondissement, Paris",,,Unknown,,2025-07-01T05:35:39Z,data engineer,paris
Data Engineer,LUTESSA,"2ème Arrondissement, Paris",,,Emplois Informatique,permanent,2025-05-28T01:04:25Z,data engineer,paris
Ml & Data Engineer - Genai & Cloud Infra - Pur Player Data IA Ml H/F,Wake IT UP,"Paris, Ile-de-France",60000.0,70000.0,Emplois Informatique,,2025-07-16T09:21:47Z,data engineer,paris
Data Engineer Python - Spark - Hadoop Spécialisé en Big Data Paris ou Remote Partiel H/F,Octopus IT,"Paris, Ile-de-France",50000.0,60000.0,Emplois Informatique,,2025-06-23T20:11:45Z,data engineer,paris
Senior Data Engineer H/F (CDI),KAINO CONSULTING,"1er Arrondissement, Paris",,,Unknown,permanent,2025-06-04T23:36:54Z,data engineer,paris
Data Engineer / Data Ops,Sekoia.io,"10ème Arrondissement, Paris",,,Unknown,,2025-05-13T21:39:48Z,data engineer,paris
